# Formato: ID|Categoria|Titulo|Prompt
44|Estudio|Diagnóstico Inicial|Pide al estudiante autoevaluar nivel (1-5) para adaptar la explicación.
45|Estudio|Mapa de Progreso|Propón hitos y criterios de logro.
46|Estudio|Errores a Registrar|Indica cómo mantener un diario de errores para mejorar.
47|Estudio|Prioridad de Tareas|Clasifica actividades en matriz Urgente/Importante.
48|Estudio|Metacognición|Pide al estudiante resumir en sus propias palabras para confirmar comprensión.
49|Estudio|Gamificación|Sugiere puntos, niveles o recompensas para mantener motivación.
50|Estudio|Micro-Aprendizaje|Divide el tema en cápsulas de menos de 10 minutos.
51|Ciencias|Método Científico|Estructura respuesta: Observación, Hipótesis, Experimento, Resultados, Conclusión.
52|Ciencias|Explicación Física|Incluye analogía diaria y fórmula con unidades.
53|Ciencias|Química Reacciones|Balancea ecuación y explica conservación de masa.
54|Ciencias|Biología Procesos|Describe proceso en etapas secuenciales numeradas.
55|Ciencias|Pensamiento Crítico|Pregunta supuestos y limitaciones de una conclusión científica.
56|Ciencias|Interpretación Gráficas|Da lectura de tendencia, picos, anomalías y conclusión.
57|Ciencias|Laboratorio Seguro|Incluye nota corta de seguridad si aplica.
58|Ciencias|Aplicación Real|Menciona al menos 2 aplicaciones cotidianas del concepto.
59|Ciencias|Modelos y Limitaciones|Describe qué simplifica el modelo y qué no cubre.
60|Ciencias|Conversión Unidades|Muestra conversión paso a paso.
61|Economía|Oferta y Demanda|Explica cambios con desplazamientos vs movimientos sobre la curva.
62|Economía|Elasticidad|Interpreta elasticidad >1, =1, <1 con ejemplo numérico.
63|Economía|Costo-Beneficio|Estructura análisis con costos explícitos, implícitos y marginales.
64|Economía|Macroe Indicadores|Describe indicador (PIB, inflación, desempleo) y su relevancia.
65|Economía|Teoría Juegos|Identifica jugadores, estrategias y equilibrio.
66|Economía|Mercados Eficientes|Resume hipótesis débil, semifuerte y fuerte.
67|Economía|Externalidades|Ejemplo de positiva y negativa y corrección posible.
68|Economía|Política Fiscal|Explica impacto en corto vs largo plazo.
69|Economía|Series Temporales|Distingue tendencia, estacionalidad y ruido.
70|Economía|Riesgo e Incertidumbre|Diferencia y cómo se gestiona cada uno.
71|Ingeniería|Análisis de Fallos|Usa formato Causa -> Efecto -> Mitigación.
72|Ingeniería|Diagramas Mentales|Sugiere bloques funcionales y relaciones.
73|Ingeniería|Materiales|Compara 3 materiales en propiedades mecánicas.
74|Ingeniería|Control de Sistemas|Define planta, controlador, señal de error y objetivo.
75|Ingeniería|Flujo de Trabajo|Proporciona pipeline de alto nivel con pasos numéricos.
76|Ingeniería|Evaluación de Riesgos|Clasifica riesgos por severidad y probabilidad.
77|Ingeniería|Mantenimiento Predictivo|Explica sensores, variables monitoreadas y umbrales.
78|Ingeniería|Eficiencia Energética|Incluye fórmula y medidas de mejora.
79|Ingeniería|Diseño Iterativo|Describe ciclo: Concepto -> Prototipo -> Pruebas -> Revisión.
80|Ingeniería|Escalabilidad Técnica|Identifica cuellos de botella potenciales.
81|Datos|Descripción Dataset|Pide columnas, tipos y objetivo antes de proceder.
82|Datos|Limpieza Datos|Checklist: duplicados, nulos, outliers, tipos, codificación.
83|Datos|Selección de Modelo|Propón 2 algoritmos y criterio de elección.
84|Datos|Evaluación Métricas|Explica qué mide cada métrica y cuándo usarla.
85|Datos|Validación Cruzada|Describe por qué reduce varianza en estimación.
86|Datos|Ingeniería de Características|Sugiere 3 features derivadas potenciales.
87|Datos|Prevención Overfitting|Lista técnicas: regularización, dropout, early stopping, etc.
88|Datos|Interpretabilidad|Sugiere métodos: SHAP, Permutaciones, Árboles simples.
89|Datos|Pipeline Reproducible|Indica pasos y control de versiones de datos.
90|Datos|Ética Datos|Incluye nota sobre sesgo y privacidad.
91|Idiomas|Vocabulario Contextual|Ofrece palabra, definición y oración de ejemplo.
92|Idiomas|Corrección Gramatical|Explica error y versión corregida.
93|Idiomas|Practica Listening|Sugiere ejercicio con transcripción y verificación.
94|Idiomas|Traducción Académica|Traduce manteniendo tono formal y precisión terminológica.
95|Idiomas|Expresión Oral|Propón mini-presentación de 1 minuto estructurada.
96|Idiomas|Errores Frecuentes|Lista 3 falsos amigos o confusiones comunes.
97|Idiomas|Reformulación Estilo|Da tres versiones con distinto registro (formal, neutro, informal educado).
98|Idiomas|Aprendizaje Espaciado|Lista 10 palabras para repaso con intervalos recomendados.
99|Idiomas|Comprensión Lectora|Formula 3 preguntas sobre el texto para asegurar comprensión.
100|Idiomas|Pronunciación|Describe cómo articular sonidos complicados y un ejercicio práctico.
101|Ingeniería|Análisis Estructural|Identifica cargas, apoyos, diagrama de cuerpo libre y método de solución recomendado.
102|Ingeniería|Diseño Mecánico|Especifica materiales, tolerancias, factores de seguridad y proceso de manufactura.
103|Ingeniería|Termodinámica|Define sistema, entorno, proceso y aplica primera/segunda ley según corresponda.
104|Ingeniería|Fluidos|Identifica tipo de flujo (laminar/turbulento), Reynolds, pérdidas y ecuación de continuidad.
105|Ingeniería|Electrónica|Analiza circuito: voltajes, corrientes, potencias y comportamiento en AC/DC.
106|Ingeniería|Control PID|Explica proporcional, integral, derivativo y su efecto en respuesta del sistema.
107|Ingeniería|CAD Diseño|Describe workflow: sketch, features, ensamble, documentación técnica.
108|Ingeniería|FEM Análisis|Define mallado, condiciones de frontera, convergencia y criterios de falla.
109|Ingeniería|Soldadura|Especifica proceso, materiales base, metal de aporte y parámetros de soldeo.
110|Ingeniería|Metalurgia|Describe microestructura, tratamiento térmico y propiedades resultantes.
111|Ingeniería|Hidráulica|Calcula caudal, presión, pérdidas de carga y dimensionamiento de tuberías.
112|Ingeniería|Automatización|Define sensores, actuadores, PLC, HMI y lógica de control requerida.
113|Ingeniería|Robótica|Especifica grados de libertad, cinemática directa/inversa y algoritmo de control.
114|Ingeniería|Manufactura|Describe proceso: maquinado, tolerancias, acabado superficial y tiempo de ciclo.
115|Ingeniería|Calidad|Aplica Six Sigma, control estadístico, capability studies y mejora continua.
116|Ingeniería|Proyectos|Usa WBS, ruta crítica, recursos, riesgos y entregables con fechas.
117|Ingeniería|Seguridad Industrial|Identifica peligros, evalúa riesgos, medidas preventivas y EPP requerido.
118|Ingeniería|Energías Renovables|Compara eficiencia, costos, impacto ambiental y viabilidad técnica.
119|Ingeniería|Instrumentación|Especifica rango, precisión, calibración y transmisión de señales.
120|Ingeniería|Mantenimiento|Clasifica predictivo, preventivo, correctivo con cronograma y KPIs.
121|Sistemas|Arquitectura Software|Define componentes, interfaces, patrones de diseño y escalabilidad.
122|Sistemas|Base de Datos|Normaliza esquema, índices, consultas optimizadas y plan de respaldo.
123|Sistemas|Redes|Describe topología, protocolos, segmentación y políticas de seguridad.
124|Sistemas|DevOps|Implementa CI/CD, containerización, monitoreo y deployment automatizado.
125|Sistemas|Seguridad|Evalúa vulnerabilidades, autenticación, autorización y cifrado de datos.
126|Sistemas|Cloud Computing|Compara servicios, costos, migración y estrategia multi-cloud.
127|Sistemas|Machine Learning|Define dataset, preprocessing, modelo, entrenamiento y evaluación.
128|Sistemas|Blockchain|Explica consenso, smart contracts, escalabilidad y casos de uso.
129|Sistemas|IoT|Especifica sensores, conectividad, edge computing y plataforma de datos.
130|Sistemas|UX/UI|Aplica principios de usabilidad, prototipado, testing con usuarios y métricas.
131|Química|Reacciones Orgánicas|Identifica mecanismo, reactivos, catalizadores y subproductos.
132|Química|Análisis Cuantitativo|Describe método analítico, precisión, exactitud y límite de detección.
133|Química|Termodinámica Química|Aplica entalpía, entropía, energía libre y equilibrio químico.
134|Química|Cinética|Determina orden de reacción, constante de velocidad y energía de activación.
135|Química|Espectroscopía|Interpreta IR, NMR, MS para identificación de compuestos orgánicos.
136|Química|Procesos Industriales|Describe reactor, separación, purificación y control de proceso.
137|Física|Mecánica Clásica|Aplica leyes de Newton, conservación y análisis energético.
138|Física|Electromagnetismo|Usa ecuaciones de Maxwell, ondas electromagnéticas y aplicaciones.
139|Física|Óptica|Describe propagación, interferencia, difracción y instrumentos ópticos.
140|Física|Física Moderna|Explica relatividad, mecánica cuántica y estructura atómica.
141|Física|Semiconductores|Describe bandas de energía, dopado y dispositivos electrónicos.
142|Física|Superconductividad|Explica efecto Meissner, temperatura crítica y aplicaciones.
143|Medicina|Diagnóstico Clínico|Estructura: anamnesis, examen físico, exámenes complementarios, diagnóstico diferencial.
144|Medicina|Farmacología|Describe mecanismo de acción, farmacocinética, efectos adversos y contraindicaciones.
145|Medicina|Fisiología|Explica función normal, regulación homeostática y integración sistémica.
146|Medicina|Patología|Identifica etiología, patogénesis, manifestaciones clínicas y pronóstico.
147|Medicina|Cirugía|Describe indicación, técnica, complicaciones y cuidados postoperatorios.
148|Medicina|Radiología|Interpreta estudios de imagen correlacionando anatomía y patología.
149|Arquitectura|Diseño Conceptual|Define programa arquitectónico, zonificación, flujos y concepto espacial.
150|Arquitectura|Estructuras|Selecciona sistema estructural, materiales, cimentación y análisis sísmico.
151|Arquitectura|Instalaciones|Diseña sistemas eléctricos, sanitarios, HVAC y automatización.
152|Arquitectura|Sustentabilidad|Aplica eficiencia energética, materiales ecológicos y certificaciones verdes.
153|Arquitectura|BIM|Modela 3D, coordina disciplinas, detecta interferencias y extrae cantidades.
154|Arquitectura|Urbanismo|Planifica uso de suelo, movilidad, infraestructura y espacios públicos.
155|Administración|Estrategia Empresarial|Analiza FODA, define objetivos, estrategias, métricas y plan de implementación.
156|Administración|Finanzas Corporativas|Evalúa inversiones, estructura de capital, flujo de caja y riesgo financiero.
157|Administración|Marketing Digital|Diseña buyer persona, customer journey, canales digitales y métricas ROI.
158|Administración|Recursos Humanos|Gestiona reclutamiento, capacitación, evaluación de desempeño y cultura organizacional.
159|Administración|Supply Chain|Optimiza proveedores, inventarios, logística y métricas de eficiencia.
160|Administración|Gestión de Riesgos|Identifica, evalúa, mitiga riesgos operacionales, financieros y estratégicos.
161|Derecho|Análisis Jurídico|Estructura: hechos, derecho aplicable, análisis, precedentes y conclusión legal.
162|Derecho|Contratos|Revisa elementos esenciales, cláusulas, vicios, incumplimiento y remedios legales.
163|Derecho|Procedimientos|Describe etapas procesales, plazos, recursos y estrategia procesal.
164|Derecho|Compliance|Evalúa cumplimiento normativo, riesgos legales y programa de prevención.
165|Derecho|Propiedad Intelectual|Analiza patentabilidad, marcas, derechos de autor y estrategia de protección.
166|Derecho|Derecho Internacional|Aplica tratados, jurisdicción, arbitraje y resolución de controversias.
167|Psicología|Evaluación Psicológica|Utiliza entrevista, tests psicométricos, observación e informe integrado.
168|Psicología|Terapia Cognitiva|Identifica pensamientos disfuncionales, reestructuración cognitiva y técnicas conductuales.
169|Psicología|Neuropsicología|Evalúa funciones cognitivas, correlatos neuroanatómicos y rehabilitación.
170|Psicología|Psicología Social|Analiza influencia social, prejuicios, dinámicas grupales y cambio de actitudes.
171|Psicología|Desarrollo|Describe etapas evolutivas, hitos del desarrollo y factores de riesgo/protección.
172|Psicología|Metodología|Diseña investigación: hipótesis, variables, muestra, instrumentos y análisis estadístico.
173|Arte|Historia del Arte|Contextualiza obra: período, estilo, influencias, técnica y significado cultural.
174|Arte|Crítica Artística|Analiza composición, color, forma, contenido y impacto estético-conceptual.
175|Arte|Técnicas Pictóricas|Describe materiales, soportes, preparación, aplicación y conservación.
176|Arte|Escultura|Especifica material, herramientas, proceso, acabado y consideraciones estructurales.
177|Arte|Diseño Gráfico|Aplica principios de composición, tipografía, color y comunicación visual.
178|Arte|Fotografía|Configura exposición, composición, iluminación y postprocesamiento digital.
179|Filosofía|Análisis Filosófico|Identifica problema, posiciones, argumentos, objeciones y síntesis crítica.
180|Filosofía|Ética Aplicada|Evalúa dilemas morales usando marcos éticos: deontológico, consecuencialista, virtue ethics.
181|Filosofía|Epistemología|Examina fuentes de conocimiento, criterios de verdad y límites del saber.
182|Filosofía|Filosofía Política|Analiza conceptos de justicia, libertad, autoridad y organización social.
183|Filosofía|Lógica|Formaliza argumentos, evalúa validez, identifica falacias y construye pruebas.
184|Filosofía|Metafísica|Explora naturaleza de la realidad, identidad, causalidad y existencia.
185|Comunicación|Periodismo|Estructura: lead, desarrollo, fuentes, verificación y ética periodística.
186|Comunicación|Relaciones Públicas|Diseña estrategia: audiencias, mensajes clave, canales y manejo de crisis.
187|Comunicación|Comunicación Organizacional|Evalúa clima, canales internos, feedback y cultura comunicacional.
188|Comunicación|Semiótica|Analiza signos, significantes, significados y procesos de significación.
189|Comunicación|Comunicación Digital|Optimiza contenido, engagement, algoritmos y métricas de alcance.
190|Comunicación|Oratoria|Estructura discurso: apertura, desarrollo, cierre, lenguaje corporal y manejo de audiencia.
191|Agronomía|Manejo de Cultivos|Planifica siembra, fertilización, riego, control fitosanitario y cosecha.
192|Agronomía|Suelos|Analiza propiedades físicas, químicas, biológicas y plan de mejoramiento.
193|Agronomía|Biotecnología Agrícola|Evalúa organismos genéticamente modificados, marcadores y mejoramiento genético.
194|Agronomía|Agricultura Sostenible|Implementa rotación, abonos orgánicos, control biológico y conservación.
195|Agronomía|Postcosecha|Diseña manejo, procesamiento, empaque, almacenamiento y cadena de frío.
196|Agronomía|Extensión Rural|Planifica capacitación, transferencia tecnológica y desarrollo comunitario.
197|Veterinaria|Clínica Veterinaria|Estructura: anamnesis, examen clínico, diagnóstico, tratamiento y pronóstico.
198|Veterinaria|Epidemiología|Investiga brotes, factores de riesgo, medidas de control y vigilancia sanitaria.
199|Veterinaria|Zootecnia|Optimiza nutrición, reproducción, genética y manejo de sistemas productivos.
200|Veterinaria|Salud Pública|Evalúa zoonosis, inocuidad alimentaria y programas de prevención.
